Method,Reward(+),Success(+),Latency(ms)(-),Miss%(-),Reschedule(-)
No Shaping (NS),317.20±0.00,0.922±0.000,515.3±0.0,0.0%,2.02
Heuristic Shaping (HS),318.54±0.00,0.921±0.000,515.3±0.0,0.0%,2.06
Random (RND),464.17±0.00,0.918±0.000,553.4±0.0,1.0%,2.18
RL-Global (B4),465.20±0.00,0.920±0.000,532.1±0.0,1.0%,2.12
